               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09315,            0.033709,                   0,             0.25775,            0.081481,            0.071444,            0.017124,            0.046911,            0.018558,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.067629,            0.027686,                   0,             0.28001,             0.75556,              0.2753,            0.082113,            0.044258,            0.011671,                   0,            0.050391,           0.0053911,           0.0053911
                   2,            0.060218,            0.019665,                   0,             0.56598,              0.6963,             0.60119,             0.27312,            0.038191,           0.0088843,                   0,            0.024971,           0.0079713,           0.0079713
                   3,            0.057351,             0.01751,                   0,             0.64058,             0.79259,             0.79091,             0.30516,            0.030332,           0.0079428,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.051624,            0.015185,                   0,             0.65491,             0.84444,             0.75021,             0.27328,            0.025137,           0.0064566,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.045005,            0.014006,                   0,             0.83229,             0.93333,              0.9444,             0.51445,            0.025795,           0.0052509,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040273,            0.012803,                   0,             0.92044,             0.93333,              0.9795,             0.35365,             0.02724,           0.0051634,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038357,            0.011246,                   0,              0.9103,             0.99259,             0.98805,             0.65288,            0.017589,           0.0043047,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.037617,            0.012665,                   0,             0.98518,              0.9851,             0.99287,             0.63343,            0.016785,           0.0043713,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.032819,            0.011409,                   0,             0.83392,             0.85546,             0.90552,             0.45462,             0.02576,           0.0045878,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034584,            0.010184,                   0,             0.99743,             0.99259,               0.995,             0.56545,            0.020637,           0.0040251,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.029664,            0.010127,                   0,             0.99841,             0.99259,               0.995,             0.62131,            0.018164,           0.0038894,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.029962,            0.010277,                   0,             0.99844,             0.99259,               0.995,             0.74871,            0.013831,           0.0040256,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.027595,            0.009665,                   0,             0.99124,             0.99259,             0.99485,             0.69451,            0.014148,           0.0037435,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.027334,           0.0099245,                   0,             0.99866,             0.99259,               0.995,             0.74958,            0.012587,           0.0035088,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.026611,            0.010354,                   0,             0.99909,             0.99259,               0.995,             0.75813,             0.01368,           0.0032829,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.02537,           0.0087147,                   0,             0.99929,             0.99259,               0.995,             0.84458,            0.010165,            0.003051,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.024974,           0.0090486,                   0,             0.99895,             0.99259,               0.995,             0.87311,            0.008602,           0.0030694,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.025684,           0.0092212,                   0,             0.99894,             0.99259,               0.995,             0.74837,            0.013165,           0.0034603,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.02377,           0.0091703,                   0,             0.98947,             0.98519,             0.99463,             0.82661,           0.0093764,           0.0031913,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.02293,           0.0081952,                   0,             0.99549,             0.99259,               0.995,             0.86537,           0.0078485,           0.0030121,                   0,            0.006238,            0.006238,            0.006238
